============================================================
  PARCL INTELLIGENCE — Batch Permit Geocoder
============================================================
  Loaded 13,765 cached geocodes
  Total permits in DB:  125,795
  Scope:                125,795 (all towns)
  Geocode cache:        13,765 entries

  Resuming from offset 20
  Phase 1: Scanning permits and extracting addresses...
    Scanned 10,000 permits, found 6,688 unique addresses...
    Scanned 20,000 permits, found 9,672 unique addresses...
    Scanned 30,000 permits, found 11,538 unique addresses...
    Scanned 40,000 permits, found 13,736 unique addresses...
    Scanned 50,000 permits, found 15,423 unique addresses...
    Scanned 60,000 permits, found 16,677 unique addresses...
    Scanned 70,000 permits, found 21,481 unique addresses...
    Scanned 80,000 permits, found 24,104 unique addresses...
    Scanned 90,000 permits, found 25,785 unique addresses...
    Scanned 100,000 permits, found 26,986 unique addresses...
    Scanned 110,000 permits, found 28,748 unique addresses...
    Scanned 120,000 permits, found 30,149 unique addresses...

  Found 30,797 unique addresses across 125,763 permits
  Permits without extractable address: 32

  Phase 2: Geocoding 30,797 unique addresses...
  (Cached addresses are instant, new ones take ~1 sec each)
    Geocoded 15,900/30,797 (51.6%) | 0.5 addr/sec | API: 15883 | Cache: 17 | Success: 8,986
    Geocoded 16,000/30,797 (52.0%) | 0.5 addr/sec | API: 15983 | Cache: 17 | Success: 9,032
    Geocoded 16,100/30,797 (52.3%) | 0.5 addr/sec | API: 16083 | Cache: 17 | Success: 9,083
    Geocoded 16,200/30,797 (52.6%) | 0.5 addr/sec | API: 16183 | Cache: 17 | Success: 9,167
    Geocoded 16,300/30,797 (52.9%) | 0.5 addr/sec | API: 16283 | Cache: 17 | Success: 9,242
    Geocoded 16,400/30,797 (53.3%) | 0.5 addr/sec | API: 16383 | Cache: 17 | Success: 9,319
    Geocoded 16,500/30,797 (53.6%) | 0.5 addr/sec | API: 16483 | Cache: 17 | Success: 9,390
    Geocoded 16,600/30,797 (53.9%) | 0.5 addr/sec | API: 16583 | Cache: 17 | Success: 9,468
    Geocoded 16,700/30,797 (54.2%) | 0.5 addr/sec | API: 16683 | Cache: 17 | Success: 9,549
    Geocoded 16,800/30,797 (54.6%) | 0.5 addr/sec | API: 16783 | Cache: 17 | Success: 9,632
    Geocoded 16,900/30,797 (54.9%) | 0.5 addr/sec | API: 16883 | Cache: 17 | Success: 9,720
    Geocoded 17,000/30,797 (55.2%) | 0.5 addr/sec | API: 16983 | Cache: 17 | Success: 9,803
    Geocoded 17,100/30,797 (55.5%) | 0.5 addr/sec | API: 17032 | Cache: 68 | Success: 9,890
    Geocoded 17,200/30,797 (55.8%) | 0.5 addr/sec | API: 17032 | Cache: 168 | Success: 9,987
    Geocoded 17,300/30,797 (56.2%) | 0.5 addr/sec | API: 17032 | Cache: 268 | Success: 10,086
    Geocoded 17,400/30,797 (56.5%) | 0.5 addr/sec | API: 17032 | Cache: 368 | Success: 10,181
    Geocoded 17,500/30,797 (56.8%) | 0.5 addr/sec | API: 17032 | Cache: 468 | Success: 10,278
